Siralim Ultimate,,Version 1.0.4,,Please send any corrections and screenshots of new entries to me on Discord. EmptyPalms#9402,
Death,Revenant,Ascendant Revenant,Fireworks,"After this creature manually Casts a spell, it deals damage to enemies equal to 40% of its Speed.",Ascendant Lantern
Death,Revenant,Revenant Cabalist,Pain Redefined,"After this creature Defends, it takes damage equal to 20% of its Maximum Health and grants 1 random buff to all your creatures.",Cabalist Fin
Death,Revenant,Revenant Captain,Reign of Pain,This creature deals 5% more damage for every 1% Health it is missing.,Captain Fin
Death,Revenant,Revenant Dagon,Lunacy,"Enemies take 40% more damage, but are immune to debuffs. This trait does not stack.",Dagon Fin
Death,Revenant,Revenant Horror,Delirium,"After this creature takes damage, it gains Intelligence equal to 40% of the damage it took.",Horror Fin
Death,Revenant,Revenant King,Pact of the Deep,"At the start of battle, this creature steals 35% of your other creatures' Health.",King Fin
Death,Revenant,Revenant Sealord,Internal Struggle,"After this creature Casts a spell, it loses 25% Current Health, adds this amount of Health to its damage, and Casts the spell 1 additional time.",Sealord Fin
Death,Revenant,Revenant Soldier,Blood For Blood,"When this creature Attacks, it loses 20% Current Health and adds 200% of this amount to the damage dealt.",Soldier Fin
Nether Boss,Revenant,Scylla and Charybdis,Gift of Scylla,"After your creatures die, they grant 25% of their Attack and Speed to all your creatures. This trait does not stack.",Scylla's Plume
Nether Boss,Revenant,Scylla and Charybdis,"Torn Between
Scylla and Charybdis","When your creatures die, they grant a copy of their innate trait to your other creatures.",Cloud Opal
Rodian Master,Revenant,Mastery Trait,Master of Revenants,"If all the creatures in your party are Revenants, they recover 50% Health at the end of their turns. This trait does not stack.",Sigil of the Revenant
Life,Rift Dancer,Aen Rift Dancer,Psychic Dance,All effects that activate when a creature Dodges will activate 1 additional time. This trait does not stack.,Aen Silk
Life,Rift Dancer,Aerum Rift Dancer,Moon Dance,All effects that activate when a creature Provokes will activate 1 additional time. This trait does not stack.,Aerum Silk
Life,Rift Dancer,Apollinaire,Renaissance,All effects that activate when a creature resurrects will activate 1 additional time.,Apollinaire Silk
Life,Rift Dancer,Inaer Rift Dancer,Fan Dance,All effects that activate when a creature Defends will activate 1 additional time. This trait does not stack.,Inaer Silk
Life,Rift Dancer,Nadin Rift Dancer,Dark Dance,All effects that activate when a creature dies will activate 1 additional time. This trait does not stack.,Nadin Silk
Life,Rift Dancer,Nax Rift Dancer,What Is Left,This creature deals additional damage with attacks and spells equal to 1% of the stats it has gained in the current battle.,Nax Silk
Life,Rift Dancer,Ramun Rift Dancer,Sword Dance,All effects that activate when a creature deals Critical damage will activate 1 additional time. This trait does not stack.,Ramun Silk
Rodian Master,Rift Dancer,Mastery Trait,Master of Rift Dancers,"If all the creatures in your party belong to the Rift Dancer race, their innate traits activate 1 additional time. This trait does not stack.",Sigil of the Rift Dancer
Chaos,Salamander,Chaos Salamander,Hotspur,"At the start of battle, your creatures each have a 50% chance to Cast one of their spells at random. This trait does not stack.",Chaos Oil
Chaos,Salamander,Earth Salamander,Memorial,"After your creatures are resurrected, they Cast one of their spells at random. This trait does not stack.",Earth Oil
Chaos,Salamander,Fire Salamander,Until the End,"Before your other creatures die, they Cast one of their spells at random. This trait does not stack.",Fire Oil
Chaos,Salamander,Ice Salamander,Naivety,"After your creatures take damage that exceeds 15% of their Maximum Health, they Cast one of their spells at random.
This trait can only activate once per turn for each creature. This trait does not stack.",Ice Oil
Chaos,Salamander,Thunder Salamander,Limitless,"When your creatures Cast a spell, they have a 50% chance to Cast it 1 additional time. This trait does not stack.",Thunder Oil
Chaos,Salamander,Water Salamander,Wallflower,"After your creatures Defend or Provoke, they Cast one of their spells at random. This trait does not stack.",Water Oil
Chaos,Salamander,Wind Salamander,Simulation,"When your creatures Cast a spell due to a Salamander trait, they Cast another one of their spells at random. This trait does not stack.",Wind Oil
Rodian Master,Salamander,Mastery Trait,Master of Salamanders,"If all the creatures in your party are Salamanders, their spells are 60% more potent. This trait does not stack.",Sigil of the Salamander
Life,Sanctus,Caritas Sanctus,Charity,"After this creature is healed, it heals one of your other creatures for 300% of this amount. This trait does not heal creatures that also have this trait.",Book of Charity
Life,Sanctus,Castitas Sanctus,Chastity,"While this creature has more than 90% Health, it is invisible.",Book of Chastity
Life,Sanctus,Humanitas Sanctus,Kindness,"At the start of this creature's turn, your other creatures gain Attack, Intelligence, Defense, and Speed equal to 5% of this creature's respective stats.",Book of Kindness
Life,Sanctus,Humilitas Sanctus,Humility,"After this creature is Attacked, it reduces the enemy's Attack by 50%.",Book of Humility
Life,Sanctus,Industrias Sanctus,Diligence,Your creatures' debuffs last for 1 turn.,Book of Diligence
Life,Sanctus,Magnificus Sanctus,Conservation of Energy,"After one of your creatures are killed, another one of your creatures has a 50% chance to be resurrected with 50% Health. This trait does not stack.",Book of Imposition
Life,Sanctus,Patientias Sanctus,Patience,Enemies take 50% more indirect damage for each turn they've taken in the current battle. This trait does not stack.,Book of Patience
Life,Sanctus,Temperantias Sanctus,Temperance,"At the start of battle, your creatures' stats are set equal to the average of all their stats, excluding Health.",Book of Temperance
Rodian Master,Sanctus,Mastery Trait,Master of Sanctuses,"If you have 6 different Sanctuses in your party, they gain a random Sin trait at the start of battle. This trait does not stack.",Sigil of the Sanctus
Nature,Satyr,Exiled Satyr,Languid Limbs,Enemies can only Attack 1 time per turn.,Exiled Hoof
Nature,Satyr,Satyr Dominator,Rough Recovery,Enemies can only heal each other 1 time per turn.,Dominator Hoof
Nature,Satyr,Satyr Guardian,Scant Stamina,Enemies can only resurrect 1 time per battle.,Guardian Hoof
Nature,Satyr,Satyr Rammer,Meaningless Mind,Enemies can only gain each stat 1 time per turn.,Rammer Hoof
Nature,Satyr,Satyr Squire,Faulty Fortune,Enemies can only gain 1 buff per turn.,Squire Hoof
Nature,Satyr,Spry Satyr,Somber Spirits,Enemies can only Cast spells 1 time per turn.,Spry Hoof
Rodian Master,Satyr,Mastery Trait,Master of Satyrs,"If all the creatures in your party are Satyrs, enemies start battles with 20% less sats. This trait does not stack.",Sigil of the Satyr
Death,Sea Shambler,Amorphous Shambler,The Sickness,"After an enemy is healed, it is afflicted with Blighted.",Amorphous Hook
Death,Sea Shambler,Innocent Shambler,Appetite For Eschar,"After your creatures deal damage as a result of Blighted, they recover health equal to 100% of the damage dealt. This trait does not stack.",Innocent Hook
Death,Sea Shambler,Lugubrious Shambler,Aggravated Illness,Enemies take 50% more damage from Blighted. This trait does not stack.,Lugubrious Hook
Death,Sea Shambler,Shambler Benefactor,Your Monsters Are People,Enemies take 25% more damage from Blighted for each debuff they have. This trait does not stack.,Benefactor Hook
Death,Sea Shambler,Shambler Juggernaut,Vicar's Blessing,"After an enemy takes damage from Blight, this creature has a 35% chance to cast Minor Healing on it. This trait does not stack.",Juggernaut Hook
Death,Sea Shambler,Shambler Recruiter,Chronic Affliction,"After an enemy takes damage from Blighted, it has a 50% chance to take the same amount of damage again. This trait does not stack.",Recruiter Hook
Death,Sea Shambler,Shambler Rescuer,Retrograde,Enemies with Blighted receive 50% more healing from all sources. This trait does not stack.,Benefactor Hook
Rodian Master,Sea Shambler,Mastery Trait,Master of Sea Shamblers,"If all the creatures in your party are Sea Shamblers, they take 12% less damage for each enemy that is afflicted with Blighted. This trait does not stack.",Sigil of the Sea Shambler
Life,Seraph,Andolin Seraph,Break the Cycle,"If this creature has Provoked at least one time this battle, a random enemy is sent to the bottom of the Timeline each time it Provokes after that.",Andolin Symbol
Life,Seraph,Kaito Seraph,Break of Dawn,Enemies take 20% more damage for each turn they've taken in the current battle. This trait does not stack.,Kaito Symbol
Life,Seraph,Neralim Seraph,Chasing Infinity,"If this creature has Provoked at least one time this battle, its spells no longer consume Charges and have 50% more potency.",Neralim Symbol
Life,Seraph,Nex Seraph,Defy the Odds,"If this creature has Attacked at least once this battle, it takes 65% less damage.",Nex Symbol
Life,Seraph,Siralim Seraph,Haven,"If this creature has Defended at least one time this battle, your creatures have 50% more Defense. This trait does not stack.",Siralim Symbol
Life,Seraph,Undolim Seraph,Ever Upwards,"If this creature has Defended at least one time this battle, it resurrects allies with 50% Health each time it Defends after that.",Undolim Symbol
Life,Seraph,Vanelin Seraph,Almost Easy,"If this creature has Attacked at least one time this battle, its attacks deal 200% more damage.",Vanelin Symbol
Rodian Master,Seraph,Mastery Trait,Master of Seraphs,Your Seraphs share their innate traits with each other.,Sigil of the Seraph
Death,Shade,Drifting Shade,Shadow Aegis,Your creatures take 95% less damage while they are Invisible. This trait does not stack.,Drifting Incense
Death,Shade,Dungeon Shade,Phase Shift,"After this creature is damaged by an attack or spell, it gains Invisible.",Dungeon Incense
Death,Shade,Evernight Shade,From Light Comes Darkness,"After your creatures are damaged by an enemy, they have a 50% chance to gain Invisible. This trait does not stack.",Evernight Incense
Death,Shade,Gateway Shade,Spook,"At the start of battle, this creature gains Invisible. This creature deals 200% more damage while it is Invisible.
This creature's Invisible buff is no longer removed at the start of its turn.",Gateway Incense
Death,Shade,Hoar Shade,Dark Signs,Your creatures deal 100% more damage while they are Invisible. This trait does not stack.,Hoar Incense
Death,Shade,Spooky Shade,Spooky Technique,"After your creatures Attack or Cast a spell that removes their Invisible buff, they deal damage to all enemies equal to 35% of their Defense. This trait does not stack.",Spooky Pumpkin
Death,Shade,Wandering Shade,Impossibility,Your creatures with Invisible are immune to damage from spells.,Wandering Incense
Death,Shade,Whispering Shade,Pariah,"After a creature is killed, your creatures gain Invisible.",Whispering Incense
Rodian Master,Shade,Mastery Trait,Master of Shades,"If all the creatures in your party are Shades, they gain Invisible at the end of their turns and have a 100% chance to dodge while they have this buff.",Sigil of the Shade
Death,Shadow,Shadow Cobra,All Hope Is Lost,Enemies with Feared cannot gain buffs.,Cobra Black Hole
Death,Shadow,Shadow Demon,Haunt,This creature's attacks deal 75% more damage and afflict the target with Feared.,Demonic Black Hole
Death,Shadow,Shadow Juggernaut,Taste of Fear,"After enemies with Feared are prevented from gaining stats, this creature gains those stats instead. This trait does not stack.",Juggernaut Black Hole
Death,Shadow,Shadow Moth,Cowardice,Enemies with Feared deal 60% less damage with attacks.,Moth Black Hole
Death,Shadow,Shadow Wolf,Unspeakable Frights,"At the start of an enemy's turn with Feared, they have a 20% chance to be sent to the bottom of the Timeline. This trait does not stack.",Wolf Black Hole
Death,Shadow,Shadow Zealot,Horrifying Visage,"At the start of battle, this creature afflicts 3 random enemies with Feared. This trait does not stack.",Zealot Black Hole
Nether Boss,Shadow,Inner Darkness,Breach,"After this creature is killed or resurrected, it afflicts enemies with Bomb.",Shadow Skull
Nether Boss,Shadow,Inner Darkness,Childhood's End,"The potency of the enemies' Bomb debuffs are shared with each other, but enemies take 50% less damage from this debuff. This trait does not stack.",Shadow Heart
Nether Boss,Shadow,Inner Darkness,Father Shadow,"After this creature damage an enemy with an attack or spell, it deals damage to a random enemy equal to 20% of the damage dealt.",Shadow Essence
Rodian Master,Shadow,Mastery Trait,Master of Shadows,"If all the creatures in your party are Shadows, enemies with Fear deal 50% less damage and take 50% more damage.",Sigil of the Shadow
Chaos,Shapeshifter,Chaos Shapeshifter,Chaos Transformation,"When your creatures buff an enemy, they debuff them instead. When your creatures debuff an ally, they buff them instead. This trait does not stack.",Chaos Plasma
Death,Shapeshifter,Death Shapeshifter,Death Transformation,"When your creatures increase an enemy's stats, they are instead decreased by 50% of the amount. This trait does not stack.",Death Plasma
Life,Shapeshifter,Life Shapeshifter,Life Transformation,"When your creatures heal an enemy, it instead takes damage equal to 50% of the amount it would have been healed. This trait does not stack.",Life Plasma
Sorcery,Shapeshifter,Master Shapeshifter,Transformation Mastery,Your Shapeshifters' innate traits are 50% more powerful. This trait does not stack.,Master Plasma
Nature,Shapeshifter,Nature Shapeshifter,Nature Transformation,"When your creatures deal damage to each other, they are instead healed for 50% of the damage they would have received.
The amount of damage this creature would have dealt is not modified by other traits. This trait does not stack.",Nature Plasma
Sorcery,Shapeshifter,Shapeshifter Novice,Rapid Learning,Your Shapeshifters start battles with 1 additional trait. This trait does not stack.,Apprentice Plasma
Sorcery,Shapeshifter,Sorcery Shapeshifter,Sorcery Transformation,Your creatures' spells heal instead of dealing damage.,Sorcery Plasma
Sorcery,Shapeshifter,Unstable Shapeshifter,Diamond Hands,This creature takes 4% less damage and deals 20% more damage for each trait it has gained in the current battle.,Unstable Plasma
Rodian Master,Shapeshifter,Mastery Trait,Master of Shapeshifters,"Your Shapeshifters deal 20% more damage, take 5% less damage, and can equip 1 additional Spell Gem for each Shapeshifter fighting on your side.
This trait does not stack.",Sigil of the Shapeshifter
Death,Sin,Acedia Sin,Sloth,Enemies start battles with 30% less Attack and Intelligence. This trait does not stack.,Book of Sloth
Death,Sin,Avarita Sin,Greed,"At the start of battle, this creature steals 15% of your other creatures' Attack, Intelligence, Defense, and Speed.",Book of Greed
Death,Sin,Dolor Sin,Despair,"After an enemy loses stats, this creature afflicts it with a random debuff.",Book of Pain
Death,Sin,Gula Sin,Gluttony,"At the start of battle, 50% of this creature's Attack, Intelligence, and Speed are converted into Health.",Book of Gluttony
Death,Sin,Invidia Sin,Envy,"At the start of battle, set this creature's Attack, Intelligence, Defense, Speed, and Health, to the highest of your other creatures' respective base stats.",Book of Envy
Death,Sin,Ira Sin,Wrath,"This creature always has Berserk and Savage, and deals 30% more damage.",Book of Wrath
Death,Sin,Luxuria Sin,Lust,"At the start of battle, this creature gains copies of up to 3 of the enemies' non-Ethereal Spell Gems. This trait ignores other creatures with the Lust trait.",Book of Lust
Death,Sin,Superbia Sin,Pride,"This creature always has Repelling, and takes 30% less damage.",Book of Pride
Rodian Master,Sin,Mastery Trait,Master of Sins,"If you have 6 different Sins in your party, they gain a random Sanctus trait at the start of battle. This trait does not stack.",Sigil of the Sin
Life,Siren,Siren Ascendant,Coerced Coexistence,"After an enemy Attacks, this creature afflicts it with Scorned. After an enemy Casts, this creature afflicts it with Silenced.",Ascendant Bell
Life,Siren,Siren Beguiler,Siren Charms,"At the start of battle, this creature afflicts 3 random enemies with Confused. This trait does not stack.",Beguiler Bell
Life,Siren,Siren Coercer,Forbidden Lullaby,"After this creature is Attacked, the enemy is afflicted with Sleeping.",Coercer Bell
Life,Siren,Siren Lifetaker,Beautiful Sorrow,"After one of your creatures dies, this creature gains their innate trait.",Reaper Bell
Life,Siren,Siren Oracle,In Plain View,"At the start of battle, this creature afflicts each enemy with Scorned or Silenced for 1 turn, depending on whether their Attack or Intelligence is higher.",Oracle Bell
Life,Siren,Siren Purifier,Dream Touch,"After this creature Attacks, it afflicts the target with Sleeping. In addition, your creatures' attacks never wake up enemies that have Sleeping.",Purifier Bell
Life,Siren,Siren Soothsayer,Filtered Truth,Enemies always have equal Attack and Intelligence; whichever is lower.,Soothsayer Bell
Nether Boss,Siren,Katarina,Katarina's Asylum,"When your creatures take damage, they take 35% more damage but gain Invisible.",Katarina's Visage
Nether Boss,Siren,Katarina,Katarina's Guidance,"At the start of battle, your creature that is highest on the Timeline gains 5 random buffs. This trait does not stack.",Katarina's Essence
Nether Boss,Siren,Katarina,Katarina's Return,"After your creatures take damage, they recover 30% Health. This trait does not stack.",Katarina's Brace
Rodian Master,Siren,Mastery Trait,Master of Sirens,"If all the creatures in your party belong to the Siren race, enemies can have Scorned and Silenced at the same time.",Sigil of the Siren
Death,Skeleton,Skeleton Buccaneer,All In,This creature's first attack each battle deals 300% more damage.,Buccaneer Bone
Death,Skeleton,Skeleton Cannoneer,Cannon Shot,"After this creature Attacks, it afflicts the target and two other enemies with Vulnerable.",Cannoneer Bone
Death,Skeleton,Skeleton Gunslinger,Quick Shot,"After this creature Attacks, it has a 50% chance to attack the same target again.",Gunslinger Bone
Death,Skeleton,Skeleton Marksman,Aimed Shot,This creature's attacks deal 200% more damage to targets that are at 100% Health.,Marksman Bone
Death,Skeleton,Skeleton Mortarman,Scatter Shot,"After this creature Attacks, it deals 30% of the damage dealt to all other enemies.",Mortarman Bone
Death,Skeleton,Skeleton Sniper,Head Shot,"When this creature Attacks, it has a 50% chance to deal 200% more damage.",Sniper Bone
Death,Skeleton,Skeleton Triggerman,Vital Shot,This creature's attacks deal 5% more damage for every 1% of Health the target is missing.,Triggerman Bone
Rodian Master,Skeleton,Mastery Trait,Master of Skeletons,"If all the creatures in your party are Skeletons, they Attack 1 additional time and have a 100% chance to deal critical damage. This trait does not stack.",Sigil of the Skeleton
Sorcery,Slime,Bile Slime,Secret Recipe ,"After this creature is resurrected, your other creatures are resurrected as well.",Bile Ooze
Sorcery,Slime,Blood Slime,Dispersion,"After this creature is healed, your other creatures that don't have this trait are healed for 50% of the amount as well.",Blood Ooze
Sorcery,Slime,Cursed Slime,False Prophecy,"This creature always has Cursed. When this creature would take damage from Cursed, the damage is dealt to the enemy instead.",Cursed Ooze
Sorcery,Slime,Ectoplasmic Slime,Concoction,"After this creature gains a buff, your other creatures that don't have this trait gain a copy of this buff as well.",Ectoplasmic Ooze
Sorcery,Slime,Glutinous Slime,Abomination,"After this creature gains stats, your other creatures that don't have this trait gain 25% of those stats as well.",Glutinous Ooze
Sorcery,Slime,Infested Slime,Parasitic Illusion,"This creature always has Poisoned. After this creature takes damage from Poisoned, 50% of the damage is dealt to all enemies.",Infested Ooze
Sorcery,Slime,Mercurial Slime,Diffusion,"After this creature gains a minion, your other creatures that don't have this trait gain that minion as well.",Mercurial Ooze
Sorcery,Slime,Paranormal Slime,Vanity,"After this creature gains Spell Gems, your other creatures that don't have this trait gain those Spell Gems as well.",Paranormal Ooze
Nether Boss,Slime,Flubris,Flubris' Engulfing,"When an enemy takes damage from Burning, it loses 20% Attack and Defense. This trait does not stack.",Flubris' Ichor
Nether Boss,Slime,Flubris,Flubris' Entrapment,"When an enemy takes damage from Poisoned or Burning, they have a 50% chance to be afflicted with a random debuff. This trait does not stack.",Flubris' Third Arm
Nether Boss,Slime,Flubris,Flubris' Toxicity,"When an enemy takes damage from Poisoned, it loses 20% Intelligence and Speed. This trait does not stack.",Flubris' Eyeballs
Rodian Master,Slime,Mastery Trait,Master of Slimes,"If all the creatures in your party are Slimes, they are resistant to debuffs and deal 30% more damage.",Sigil of the Slime
Sorcery,Smith,Black Crystal Smith,Unbreakable,Your creatures' '[Class] Strength' Artifact properties prevent 50% more damage from that class. This trait does not stack.,Black Crystal Axe
Sorcery,Smith,Brim Smith,Dissection,"When your creatures Attack, they deal additional damage equal to 50% of the total Attack bonus on this creature's Artifact. This trait does not stack.",Brim Axe
Sorcery,Smith,Crystal Smith,Fool's Axiom,Your creatures have additional Defense equal to 50% of the total Defense bonus on this creature's artifact. This trait does not stack.,Crystal Axe
Sorcery,Smith,Dark Brim Smith,Battle Born,Your creatures' Spell Slots have a 10% greater chance to activate.,Dark Brim Axe
Sorcery,Smith,Death Crafter,Honed Blades,"Your creatures share 15% of their Artifacts' bonuses from Attack, Intelligence, Defense, and Speed with each other. This trait does not stack.",Death Axe
Sorcery,Smith,Depravity Smith,Braze,Your creatures' '[Class] Strength' Artifact properties deal 50% more damage to that class. This trait does not stack.,Depravity Axe
Sorcery,Smith,Disease Crafter,Imbue,Your creatures' Stat Slots provide 15% more benefit. This trait does not stack.,Disease Axe
Sorcery,Smith,Hammer Lord,War Forged,Your creatures' 'Gain Buff On Damage' properties have a 100% greater chance to activate. This trait does not stack.,Ianne's Spare Hammer
Sorcery,Smith,Pestilence Crafter,Incursion,Your creatures' 'Afflict Debuff On Damage' properties have a 100% greater chance to activate. This trait does not stack.,Pestilence Axe
Sorcery,Smith,War Crafter,Warcraft,This creature's Stat Slots provide 40% more benefit.,War Axe
Nether Boss,Smith,Blacksmith Ianne,Ianne's Eccentricity,"After this creature Attacks, the target deals 100 damage to all your creatures. This damage is not mitigated by Defense.",Ianne's Third Eye
Nether Boss,Smith,Blacksmith Ianne,Ianne's Oddity,"When your creatures take damage that exceeds 30% of their Maximum Health, reduce this damage by 50% This trait does not stack.",Ianne's Bad Leg
Nether Boss,Smith,Blacksmith Ianne,Ianne's Quirk,After this creature Attacks it Casts Metamorphosis on the target.,Ianne's Chiclets
Rodian Master,Smith,Mastery Trait,Master of Smiths,"At the start of battle, if all the creatures in your party are Smiths, they share their Artifact's trait with the creature to the left.",Sigil of the Smith
Chaos,Smog,Cancerous Smog,Poison Inoculation,Your creatures start battle with Poisoned. Your creatures recover Health from Poisoned instead of taking damage from it.,Cancerous Smoke
Chaos,Smog,Festival Smog,Endless Distraction,"While this creature is Provoking, your other creatures take 35% less damage. This trait does not stack.",Festival Drink
Chaos,Smog,Incendiary Smog,Vex,Enemies with both Burning and Poisoned take 50% more damage from these debuffs. This trait does not stack.,Incendiary Smoke
Chaos,Smog,Lethal Smog,Creeping Death,"After this creature Defends or Provokes, enemies that have Poisoned take damage equal to 3 turns of this debuff.",Lethal Smoke
Chaos,Smog,Noxious Smog,Contamination,This creature's attacks deal 75% more damage and afflict Poisoned.,Noxious Smoke
Chaos,Smog,Pestilent Smog,Malady,Enemies' Poisoned debuff lasts forever. This effect also applies to your own creatures while you have a creature with the Poison Inoculation trait.,Pestilent Smoke
Chaos,Smog,Scourge Smog,Extermination,This creature deals 150% more damage to creatures with Poisoned. This trait does not stack.,Scourge Smoke
Chaos,Smog,Smog Lord,Transfusion,"After this creature Attacks a creature with Poisoned, it deals damage equal to the amount this debuff would have dealt for 5 turns, then this debuff is removed.",Lord Smoke
Chaos,Smog,Toxic Smog,Tainted Blood,"After an enemy takes damage from Poisoned, all other enemies take damage equal to 35% of the damage dealt. This trait does not stack.",Toxic Smoke
Rodian Master,Smog,Mastery Trait,Master of Smogs,"When your creatures afflict enemies with Poisoned, the potency of this debuff is increased by 50% for each Smog fighting on your side. This trait does not stack.",Sigil of the Smog
Nature,Snaptrap,Alluring Snaptrap,Atrophy,"After an enemy gains a stat, it has a 25% chance to be sent to the bottom of the Timeline. This trait does not stack.",Alluring Pitcher
Nature,Snaptrap,Battrap,Debacle,"After an enemy is healed, it has a 25% chance to be sent to the bottom of the Timeline. This trait does not stack",Bat Pitcher
Nature,Snaptrap,Parasitic Snaptrap,Great Fall,"After an enemy Attacks, all other enemies each have a 10% chance to be sent to the bottom of the Timeline.
This trait can only activate on the enemies' first attack per turn. This trait does not stack.",Parasitic Pitcher
Nature,Snaptrap,Snaptrap Cultivar,Coming Down,"After an enemy gains a buff, it has a 25% chance to be sent to the bottom of the Timeline. This trait does not stack.",Cultivar Pitcher
Nature,Snaptrap,Sticky Snaptrap,Tumble Over,"After an enemy Casts a spell, all other enemies each have a 10% chance to be sent to the bottom of the Timeline.
This trait can only activate on the enemies' first spell per turn. This trait does not stack.",Sticky Pitcher
Nature,Snaptrap,Wizened Snaptrap,Follow The Leader,"After an enemy is sent to the bottom of the Timeline, all other enemies each have a 10% chance to be sent to the bottom of the Timeline as well. This trait does not stack.",Wizened Pitcher
Rodian Master,Snaptrap,Mastery Trait,Master of Snaptraps,"If all the creatues in your party are Snaptraps, their innate traits have double the chance to activate. This trait does not stack.",Sigil of the Snaptrap
Sorcery,Soulflayer,Soulflayer Depriver,Of One Mind,"After your creatures that belong to your most common race Attack, the others have a 5% chance to Attack random enemies for 10% normal damage.
This trait does not stack.",Sleepless Brain
Sorcery,Soulflayer,Soulflayer DreamCaster,Suicide Pact,"After your creatures that belong to your most common race are killed, the others are killed as well. This trait does not stack.",Dreamweaver Brain
Sorcery,Soulflayer,Soulflayer Drone,Group Therapy,"After your creatures that belong to your most common race heal a creature, the others heal that same creature as well. This trait does not stack.",Drone Brain
Sorcery,Soulflayer,Soulflayer Overlord,Mass Resurrection,"After your creatures that belong to your most common race are resurrected, the others have a 30% chance to be resurrected with 50% Health as well.
This trait does not stack.",Queen Brain
Sorcery,Soulflayer,Soulflayer Peacemaker,Hubbub,"After your creatures that belong to your most common race Provoke, the others Provoke. This trait does not stack.",Peacemaker Brain
Sorcery,Soulflayer,Soulflayer Prober,Marshal,"After your creatures that belong to your most common race move to the top of the Timeline, the others have a 25% chance to Attack a random enemy.
This trait does not stack.",Healer Brain
Nether Boss,Soulflayer,Xyrxzys,Xyrxzy's Control,"After this creature Attacks, the enemy Attacks itself as well. The amount of damage is based on this creature's Attack. This trait does not stack.",Xyrxzy's Brain
Nether Boss,Soulflayer,Xyrxzys,Xyrxzy's Plan,"At the start of battle, your creatures gain Mind Control. This spell causes enemies to Attack 1 additional time when they're affected by this spell.",Xyrxzy Flesh
Nether Boss,Soulflayer,Xyrxzys,Xyrxzy's Subversion,"After this creature manually Casts a spell, it also Casts 3 random enemies' spells as well. This trait does not stack.",Xyrxzy's Nose
Rodian Master,Soulflayer,Mastery Trait,Master of Soulflayers,"The first time your Soulflayers are killed, they are resurrected with 10% Health.",Sigil of the Soulflayer
Sorcery,Sparktail,Sparktail Courier,Recompense,"After this creature is Attacked, it deals damage to all enemies equal to 30% of the damage taken.",Courier Spark
Sorcery,Sparktail,Sparktail Engineer,Comeuppance,"After this creature takes damage from spells, it deals damage to all enemies equal to 30% of the damage taken.",Engineer Spark
Sorcery,Sparktail,Sparktail Officer,Ravish,"After this creature takes damage, it deals damage to the enemy equal to 100% of the damage taken.",Officer Spark
Sorcery,Sparktail,Sparktail Professor,Seeth,This creature deals additional damage equal to 20% of the damage it has taken in the current battle.,Professor Spark
Sorcery,Sparktail,Sparktail Searcher,Conviviality,This creature deals additional damage equal to 5% of the damage your creatures have taken in the current battle.,Searcher Spark
Sorcery,Sparktail,Sparktail Student,Bombshell,Your creatures deal 75% more damage when it is not their turn. This trait does not stack.,Student Spark
Rodian Master,Sparktail,Mastery Trait,Master of Sparktails,"If all the creatures in your party are Sparktails, they share their innate traits with each other.",Sigil of the Sparktail
Death,Spectre,Abyssal Spectre,Cold Touch,"After this creature attacks, it decreases the target's highest stat by 20%.",Abyssal Embryo
Death,Spectre,Doomsday Spectre,Blessing From Below,"After this creature gains stats other than Maximum Health, enemies lose 25% of that amount of the same stat. This trait does not stack.",Doomsday Embryo
Death,Spectre,Dread Spectre,Creation Dirge,"After this creature is Attacked, it decreases the enemy's Attack, Defense, Intelligence, and Speed by 25%.",Dread Embryo
Death,Spectre,Entropic Spectre,Cripple,"After this creature Casts a damaging spell on an enemy, the target loses Intelligence equal to 100% of the damage dealt.",Entropic Embryo
Death,Spectre,Nightveil Spectre,Unspeakable Sins,"After an enemy is healed, it loses 35% Attack and Intelligence. This trait does not stack.",Nightveil Embryo
Death,Spectre,Prophetic Spectre,Experimentation,"After an enemy gains stats, this creature has a 30% chance to Attack it.",Prophetic Embryo
Death,Spectre,Transient Spectre,Salted Earth,"After this creature Defends or Provokes, enemies lose 30% Defense and Speed.",Transient Embryo
Death,Spectre,Woeful Spectre,Guilt,"At the start of each enemy's turn, this creature decreases their lowest stat by 25%.",Woeful Embryo
Rodian Master,Spectre,Mastery Trait,Master of Spectres,Your Spectres decrease enemies' stats 50% more. This trait does not stack.,Sigil of the Spectre
Sorcery,Spellmane,Ashskin Spellmane,Flamestalker,"At the start of battle, this creature gains Firestorm. After this creature Casts this spell, it gains Invisible and 20% Intelligence.",Ashen Pelt
Sorcery,Spellmane,Cloudskin Spellmane,Skystalker,"At the start of battle, this creature gains Whirlwind. After this creature Casts this spell, it gains Invisible and 20% Intelligence.",Cloudy Pelt
Sorcery,Spellmane,Dryskin Spellmane,Sandstalker,"At the start of battle, this creature gains Sandstorm. After this creature Casts this spell, it gains Invisible and 20% Attack.",Dry Pelt
Sorcery,Spellmane,Rimeskin Spellmane,Snowstalker,"At the start of battle, this creature gains Snowstorm. After this creature Casts this spell, it gains Invisible and 20% Attack.",Rime Pelt
Sorcery,Spellmane,Venomskin Spellmane,Vilestalker,"At the start of battle, this creature gains Acid Rain. After this creature Casts this spell, it gains Invisible and 20% Speed.",Venomous Pelt
